Time,Susceptible,Infected,Recovered/Deaths,Country
2020-07-20,144,148288,1918939,Slovenia
2020-07-21,141,144233,1922997,Slovenia
2020-07-22,139,142247,1924984,Slovenia
2020-07-23,137,138355,1928878,Slovenia
2020-07-24,134,134569,1932668,Slovenia
2020-07-25,131,130883,1936356,Slovenia
2020-07-26,130,129077,1938163,Slovenia
2020-07-27,128,125538,1941705,Slovenia
2020-07-28,125,122094,1945151,Slovenia
2020-07-29,124,120407,1946839,Slovenia
2020-07-30,122,117101,1950147,Slovenia
2020-07-31,120,113885,1953365,Slovenia
2020-08-01,119,112311,1954941,Slovenia
2020-08-02,117,109226,1958028,Slovenia
2020-08-03,115,106225,1961030,Slovenia
2020-08-04,114,104756,1962500,Slovenia
2020-08-05,113,101879,1965379,Slovenia
2020-08-06,111,99082,1968178,Slovenia
2020-08-07,109,96362,1970899,Slovenia
2020-08-08,109,95030,1972232,Slovenia
2020-08-09,107,92423,1974840,Slovenia
2020-08-10,106,89889,1977376,Slovenia
2020-08-11,105,88649,1978617,Slovenia
2020-08-12,104,86220,1981046,Slovenia
2020-08-13,103,83860,1983408,Slovenia
2020-08-14,102,82705,1984564,Slovenia
2020-08-15,101,80443,1986827,Slovenia
2020-08-16,100,78245,1989026,Slovenia
2020-08-17,99,76108,1991164,Slovenia
2020-08-18,98,75062,1992210,Slovenia
2020-08-19,97,73015,1994258,Slovenia
2020-08-20,97,71025,1996249,Slovenia
2020-08-21,96,70051,1997223,Slovenia
2020-08-22,95,68144,1999132,Slovenia
2020-08-23,94,66289,2000987,Slovenia
2020-08-24,94,65381,2001895,Slovenia
2020-08-25,93,63603,2003674,Slovenia
2020-08-26,93,61874,2005404,Slovenia
2020-08-27,92,61027,2006251,Slovenia
2020-08-28,92,59368,2007911,Slovenia
2020-08-29,91,57753,2009527,Slovenia
2020-08-30,90,56182,2011099,Slovenia
2020-08-31,90,55412,2011869,Slovenia
2020-09-01,89,53902,2013379,Slovenia
2020-09-02,89,52431,2014850,Slovenia
2020-09-03,88,51710,2015572,Slovenia
2020-09-04,88,50296,2016987,Slovenia
2020-09-05,87,48919,2018364,Slovenia
2020-09-06,87,48245,2019039,Slovenia
2020-09-07,86,46924,2020360,Slovenia
2020-09-08,86,45640,2021645,Slovenia
2020-09-09,85,44390,2022895,Slovenia
2020-09-10,85,43778,2023507,Slovenia
2020-09-11,84,42580,2024706,Slovenia
2020-09-12,84,41414,2025873,Slovenia
2020-09-13,83,40843,2026444,Slovenia
2020-09-14,83,39725,2027562,Slovenia
2020-09-15,82,38638,2028650,Slovenia
2020-03-30,14179568,610753,217831,Somalia
2020-03-31,14128571,644356,235225,Somalia
2020-04-01,14074996,679586,253570,Somalia
2020-04-02,14018744,716496,272913,Somalia
2020-04-03,13959690,755158,293304,Somalia
2020-04-04,13897717,795642,314793,Somalia
